date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:25	59576/59576	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/js/plugins/revolution/css/navigation.css	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/js/plugins/revolution/css/navigation.css	(from https://onedigitalassetshub.com/index.php)
16:27:26	12740/12740	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/js/modernizr.js	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/js/modernizr.js	(from https://onedigitalassetshub.com/index.php)
16:27:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2015:27:28%20GMT	https://onedigitalassetshub.com/tawto.js	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/tawto.b.delayed	(from https://onedigitalassetshub.com/index.php)
16:27:29	2168/2168	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2030%20May%202020%2015:27:30%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/translate.google.com/translate_a/element.da0d8.delayed	(from https://onedigitalassetshub.com/index.php)
16:27:31	61871/61871	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:31%20GMT	https://onedigitalassetshub.com/index	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/index.html	(from https://onedigitalassetshub.com/index.php)
16:27:32	239224/239224	---M--	200	added ('OK')	image/png	date:Sun,%2017%20May%202020%2015:02:49%20GMT	https://onedigitalassetshub.com/img/logo.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/logo.png	(from https://onedigitalassetshub.com/index.php)
16:27:33	21018/21018	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:35%20GMT	https://onedigitalassetshub.com/about	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/about.html	(from https://onedigitalassetshub.com/index.php)
16:27:34	92030/92030	---M--	200	added ('OK')	image/png	date:Sun,%2017%20May%202020%2016:42:07%20GMT	https://onedigitalassetshub.com/image/logo.png	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/image/logo.png	(from https://onedigitalassetshub.com/index.php)
16:27:35	17192/17192	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:36%20GMT	https://onedigitalassetshub.com/timeline	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/timeline.html	(from https://onedigitalassetshub.com/index.php)
16:27:36	16503/16503	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:37%20GMT	https://onedigitalassetshub.com/contact	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/contact.html	(from https://onedigitalassetshub.com/index.php)
16:27:38	6340/6340	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:39%20GMT	https://onedigitalassetshub.com/user/index	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/user/index.html	(from https://onedigitalassetshub.com/index.php)
16:27:40	4261/4261	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2015:27:41%20GMT	https://onedigitalassetshub.com/user/register	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/user/register.html	(from https://onedigitalassetshub.com/index.php)
16:27:51	271299/271299	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/revolution-slider/kenburns/trading.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/revolution-slider/kenburns/trading.jpg	(from https://onedigitalassetshub.com/index.php)
16:27:53	31084/31084	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/coin.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/coin.jpg	(from https://onedigitalassetshub.com/index.php)
16:27:57	80721/80721	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/blog/img2.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/blog/img2.jpg	(from https://onedigitalassetshub.com/index.php)
16:27:58	634782/634782	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/revolution-slider/kenburns/technology.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/revolution-slider/kenburns/technology.jpg	(from https://onedigitalassetshub.com/index.php)
16:28:00	93191/93191	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Feb%202020%2011:29:00%20GMT	https://onedigitalassetshub.com/img/blog/blog-post-small-3.jpg	C:/Users/LAWRENCE/Desktop/COLLINS/ONLINE%20DIGITAL%20ASSETS%20HUB%202/onedigitalassetshub.com/img/blog/blog-post-small-3.jpg	(from https://onedigitalassetshub.com/index.php)
